song_name,release_year,song_duration,song_popularity,live
Bitch - Live,2017,267.253,26,TRUE
Can't You Hear Me Knocking - Live,2017,441.147,30,TRUE
I Got The Blues - Live,2017,269.68,25,TRUE
Moonlight Mile - Live,2017,281.227,26,TRUE
Brown Sugar - Live,2017,490.96,26,TRUE
Rock Me Baby - Live,2017,271.48,24,TRUE
Jumpin’ Jack Flash - Live,2017,287.44,26,TRUE
I Can’t Turn You Loose - Live,2017,324.667,23,TRUE
Come On - Saturday Club / 1963,2017,122.987,47,FALSE
(I Can't Get No) Satisfaction - Saturday Club / 1965,2017,226.88,47,FALSE
Roll Over Beethoven - Saturday Club / 1963,2017,139.427,46,FALSE
The Spider And The Fly - Yeah Yeah / 1965,2017,194.16,44,FALSE
Cops And Robbers - Blues In Rhythm / 1964,2017,224.867,44,FALSE
It's All Over Now - The Joe Loss Pop Show / 1964,2017,198.787,43,FALSE
Route 66 - Blues In Rhythm / 1964,2017,152.467,44,FALSE
"Memphis, Tennessee - Saturday Club / 1963",2017,142.093,42,FALSE
Down The Road Apiece - Top Gear / 1965,2017,121.787,41,FALSE
The Last Time - Top Gear / 1965,2017,190.573,42,FALSE
Cry To Me - Saturday Club / 1965,2017,187.2,41,FALSE
"Mercy, Mercy - Yeah Yeah / 1965",2017,174.653,40,FALSE
Oh! Baby (We Got A Good Thing Goin’) - Saturday Club / 1965,2017,109.28,40,FALSE
Around And Around - Top Gear / 1964,2017,165.627,40,FALSE
Hi Heel Sneakers - Saturday Club / 1965,2017,116.56,39,FALSE
Fannie Mae - Saturday Club / 1965,2017,131.827,40,FALSE
You Better Move On - Blues In Rhythm / 1964,2017,166.48,40,FALSE
Mona - Blues In Rhythm / 1964,2017,178.413,40,FALSE
I Wanna Be Your Man - Saturday Club / 1964,2017,112.747,38,FALSE
Carol - Saturday Club / 1964,2017,151.627,38,FALSE
Around and Around,2018,184.027,22,FALSE
Confessin' the Blues,2018,168.667,21,FALSE
Time Is on My Side,2018,174.467,22,FALSE
Susie Q,2018,110.973,21,FALSE
Everybody Needs Somebody to Love,2018,180.48,21,FALSE
